productName,genericName,packSize,gmsNo,costPrice,vatRate,manufacturer,legalCategory,barcode,ipuCode
10% LPC IN BETNOVATE CREAM,,1,,0.00,23,,,,
12 % EUMOVATE IN PARAFFIN GEL,,1,,0.00,23,,,,
2%AC SAL/ 48% PROP GLYCLOL/ DERMVTE CR/AD 100%,,100,,0.00,23,,,,
365 LIGHT SUPPORT CREPE BNDG 10 X 4.5CM,,12,,15.00,23,365 HC,,,5099627357562
365 LIGHT SUPPORT CREPE BNDG 15 X 4.5CM,,12,,21.00,23,365 HC,,,5099627607117
365 LIGHT SUPPORT CREPE BNDG 5 X 4.5CM,,12,,9.00,23,365 HC,,,5099627606653
365 LIGHT SUPPORT CREPE BNDG 7.5 X 4.5CM,,12,,12.00,23,365 HC,,,5099627075527
365 NON ADHERENT DRESSING 10 X 10CM,,50,,8.50,23,365 HC,,,5099627971065
365 NON ADHERENT DRESSING 10 X 20CM,,25,,8.00,23,365 HC,,,5099627096171
365 NON ADHERENT DRESSING 20 X 30CM,,25,,18.00,23,365 HC,,,5099627387453
365 NON ADHERENT DRESSING 5 X 5CM,,100,,6.00,23,365 HC,,,5099627218658
365 NON WOVEN ISLAND DRESSING 10 X 10CM,,50,,6.50,23,365 HC,,,5099627501316
365 NON WOVEN ISLAND DRESSING 10 X 15CM,,50,,8.50,23,365 HC,,,5099627722193
365 NON WOVEN ISLAND DRESSING 10 X 20CM,,50,,5.90,23,365 HC,,,5099627761864
365 NON WOVEN ISLAND DRESSING 10 X 25CM,,50,,6.70,23,365 HC,,,5099627842815
365 NON WOVEN ISLAND DRESSING 5 X 7.25CM,,50,,2.80,23,365 HC,,,5099627734592
365 NON WOVEN ISLAND DRESSING 6 X 8CM,,60,,4.60,23,365 HC,,,5099627638111
365 NON WOVEN ISLAND DRESSING 8 X 10CM,,50,,5.60,23,365 HC,,,5099627707275
365 NON WOVEN ISLAND DRESSING 8 X 15CM,,50,,7.30,23,365 HC,,,5099627913461
365 REINF TRANS PORTED IV DRESS 6 X 7CM,,50,,12.50,23,365 HC,,,5099627772679
365 REINFORCED TRANS IV DRESS 5 X 5.7CM,,100,,25.00,23,365 HC,,,5099627373067
365 TRANS ADH FILM DRESS NO PAD 10X12CM,,50,,15.00,23,365 HC,,,5099627542029
365 TRANS ADH FILM DRESS NO PAD 10X14CM,,50,,19.00,23,365 HC,,,5099627222648
365 TRANS ADH FILM DRESS NO PAD 10X25CM,,30,,16.00,23,365 HC,,,5099627913195
